"","rice_yield_1983","rice_yield_1984","rice_yield_1985","rice_yield_1986","rice_yield_1987","rice_yield_1988","rice_yield_1989","rice_yield_1990","rice_yield_1991","rice_yield_1992","rice_yield_1993","rice_yield_1994","rice_yield_1995","rice_yield_1996","rice_yield_1997","rice_yield_1998","rice_yield_1999","rice_yield_2000","rice_yield_2001","rice_yield_2002","rice_yield_2003","rice_yield_2004","rice_yield_2005","rice_yield_2006","rice_yield_2007","rice_yield_2008","rice_yield_2009","rice_yield_2010","rice_yield_2011","rice_yield_2012","rice_yield_2013","rice_yield_2014","rice_yield_2015"
"1861",7039.7998046875,7283.39990234375,7369.7001953125,8107.7998046875,8633.7001953125,7163.7998046875,7713.7998046875,7221.39990234375,6721.5,7421.39990234375,7151.60009765625,7382.5,7921.2998046875,6840.2998046875,7381.39990234375,7388.89990234375,5742.2001953125,6523.89990234375,6868,5922.7001953125,7391.10009765625,6022.39990234375,8041.2998046875,5848.7998046875,6670,6124.89990234375,6658.89990234375,7535.7001953125,6470.89990234375,6710.2998046875,7153.7001953125,5604.39990234375,6496.2998046875
"1862",7042.2001953125,7265.10009765625,7365.7001953125,8092.89990234375,8607.900390625,7080.89990234375,7763.2001953125,7279.2998046875,7226.60009765625,7282.39990234375,7180.5,7373.60009765625,7923.2001953125,6690.60009765625,7385.2001953125,7359.7001953125,5623.89990234375,6514.89990234375,6597.89990234375,6035,7451.39990234375,6069.2998046875,7786.2001953125,5905,6623.39990234375,5994.60009765625,7062.2001953125,7526.5,6629.89990234375,6770.10009765625,7097,5715.7998046875,6469.10009765625
"1863",6756.2998046875,7241.89990234375,7043.60009765625,8085.7001953125,8588.7001953125,7184.39990234375,7504,7317.2001953125,7098.10009765625,7234.7001953125,7169,7354.2001953125,7889.60009765625,6689.2998046875,7358.60009765625,7458.39990234375,5599.7001953125,6539.2998046875,6745.89990234375,6137.7001953125,7274.2998046875,5849.2998046875,7452.10009765625,5838.5,6704.39990234375,5986.2998046875,6926.2001953125,7504.10009765625,6615,6669.10009765625,7044.5,5738.60009765625,6401.89990234375
"1864",6744.10009765625,7207.60009765625,7046.39990234375,8079.2001953125,8341.900390625,7171.39990234375,7568.89990234375,7537.7998046875,7087.5,7237.2998046875,7172.7998046875,7353.2998046875,7880,6732.5,7465.39990234375,7349.89990234375,5621.7998046875,6515.60009765625,6741.2001953125,5876.60009765625,7252,5966.39990234375,7389.39990234375,5794.7998046875,6751.60009765625,5940.5,7040.5,7555.5,6592.7998046875,6659.7001953125,6835.7998046875,5609.2998046875,6469.89990234375
"1865",6714.7998046875,7163.5,7002.7998046875,7790.2998046875,8296.7998046875,7139.89990234375,7397.10009765625,7443.60009765625,7039.89990234375,7214.7998046875,7131.10009765625,7219.7998046875,7559.60009765625,6640,7366.5,7248.2998046875,5518.10009765625,6498.7001953125,6555.39990234375,5807.7001953125,7132.89990234375,5863.89990234375,7586.39990234375,5775.60009765625,6669.89990234375,5946.2998046875,6954.39990234375,7219.7998046875,6524.2001953125,6631.2998046875,6749.10009765625,5314.2001953125,6397.2998046875
"1866",6706.60009765625,7149.2998046875,7008.5,7604.60009765625,8282.7998046875,7134.7001953125,7523.7001953125,7184.89990234375,6985.5,7198,6983.7001953125,6742,7324.7998046875,6975.2998046875,7382.89990234375,7253.60009765625,5561.89990234375,6519,6541.7998046875,5736.7998046875,7112.10009765625,5838.7001953125,7473.39990234375,5756.39990234375,6594.60009765625,5912.60009765625,6696.7001953125,7083.89990234375,6425.2001953125,6618.60009765625,6878.7998046875,5326,6405.2001953125
"1867",6887.7998046875,7136.60009765625,6976.7998046875,7597.2998046875,8285.900390625,7013.39990234375,7378.10009765625,7089.39990234375,7128.60009765625,7196.2998046875,6966.5,6657.2998046875,7351.89990234375,6606.2001953125,7390.10009765625,7316.89990234375,5532.10009765625,6514.39990234375,6526.89990234375,5691.2001953125,7064.10009765625,5782.60009765625,7369.7001953125,5672.60009765625,6468.5,5895.2998046875,6644.2001953125,7081.89990234375,6234.7998046875,6618.2998046875,6862.60009765625,5325.10009765625,6163.60009765625
"1868",6664.2998046875,6777.2001953125,6856.5,7328.60009765625,8270.900390625,7006.5,7369.2998046875,7077.39990234375,7124.10009765625,7275,6958.7998046875,6721.7001953125,7253,6557.7001953125,7228.10009765625,7320,5457.7998046875,6399,6529.89990234375,5798.2998046875,7055.10009765625,5758,7338.10009765625,5652.2998046875,6571.89990234375,5862.7998046875,6352.7001953125,6725.7998046875,6187.7001953125,6594.7998046875,6710.10009765625,5258.2001953125,6182.2001953125
"1869",6702,6708.2001953125,6730.7998046875,7336.5,8154.89990234375,6998.89990234375,7166.39990234375,7057.2998046875,7129.2998046875,7175.2998046875,6981.10009765625,6857.10009765625,7176.10009765625,6700.39990234375,7413.2998046875,7316.7998046875,5385,6181,6649.60009765625,5533.2001953125,7212.10009765625,5656.7998046875,6997.7998046875,5631.2998046875,6500.89990234375,5842.10009765625,6121.2001953125,6060,5928.2001953125,6601,6697.89990234375,5166.10009765625,6164.10009765625
"1870",6780.2998046875,6812.60009765625,6623,7213.2001953125,8097.5,6975.10009765625,7186.5,7098.10009765625,7128.39990234375,7161.2998046875,6960.39990234375,6994.2998046875,7247.5,6931.89990234375,7239.5,7328.2001953125,5167.60009765625,6175.5,6647.60009765625,5681.7998046875,6954,5448.2001953125,6994.2001953125,5633.60009765625,6620.5,5840.2001953125,6354.39990234375,5937.39990234375,5958.7998046875,6515.5,6688.89990234375,5166.60009765625,6192
"1871",6787.89990234375,6832.2998046875,6663.10009765625,7038.7998046875,7836.7998046875,6985.60009765625,7412.2001953125,6820.2998046875,7146.60009765625,7143.7998046875,6839.7001953125,6947.60009765625,7513.10009765625,6780,7160.10009765625,7329.39990234375,5253.60009765625,6174.89990234375,6652.2998046875,5549.7998046875,6962.7001953125,5567.2001953125,7153,5341.60009765625,6656.7001953125,5818,6355.60009765625,6044.10009765625,6085.7998046875,6523.60009765625,6431.2998046875,5137.5,6226
"1872",6529.7998046875,6825.7998046875,6758.2998046875,7022.10009765625,7817.5,6978.10009765625,7399.60009765625,6804.7998046875,7129.89990234375,7030.7998046875,6965.7998046875,6935.2998046875,7298.2001953125,6860.5,7154.60009765625,7338.7001953125,5230.89990234375,6168.10009765625,6647.60009765625,5539.5,6964.2998046875,5583.5,6628.39990234375,5254.5,6768.39990234375,5819.89990234375,6383.2998046875,6030.10009765625,5791.7998046875,6365.10009765625,6562,5124.2001953125,6369.2001953125
"1873",6782.7001953125,6697.2998046875,6794.7998046875,7308.2998046875,7819.7001953125,6978.7998046875,7402.39990234375,6825,6969.89990234375,7057.89990234375,6994.7001953125,6835.2001953125,7273.5,6835.5,7183.39990234375,7354.89990234375,5240.39990234375,6056.10009765625,6673.2001953125,5547.2998046875,6955.10009765625,5530,6906.2998046875,5203.5,6614.10009765625,5836.10009765625,6612,6604.2001953125,6178.2998046875,6232.2998046875,6422.7998046875,5131.2001953125,6389.7998046875
"1874",6817.5,6885.60009765625,6925.7001953125,7360.60009765625,7925.2998046875,6786.39990234375,7306.89990234375,6813,6960.2998046875,7031.7998046875,6928.89990234375,6823.5,7293.60009765625,6843.7998046875,7310.89990234375,7359,5357.5,5978.89990234375,6537.10009765625,5618.89990234375,7045.10009765625,5532.60009765625,7085.39990234375,5240.7001953125,6467.60009765625,5747.7998046875,6819.39990234375,6982,6182.10009765625,6140.10009765625,6559.7001953125,5130.2001953125,6387.7001953125
"1875",6772.10009765625,6887.39990234375,6829.2001953125,7256,7956,6963.10009765625,7344.39990234375,6768.7001953125,6952.7001953125,6943.7998046875,6861.2998046875,7103.2998046875,7571,6511.39990234375,7303.39990234375,7606.7001953125,5235,5974.89990234375,6701,5765.60009765625,6898.39990234375,5526,7010.5,5161.10009765625,6580.5,5735.2001953125,6611.89990234375,7134.60009765625,6231.10009765625,6150.5,6187.7001953125,5014.5,6204.39990234375
"1876",6688.60009765625,6881.89990234375,7102.7998046875,7537.60009765625,8050.7001953125,6808.2001953125,7344.2998046875,6695.7001953125,6555.2001953125,6952,6844,7091.39990234375,7573,6527.2998046875,7304.5,7387.2998046875,5324.89990234375,6049.10009765625,6695.89990234375,5561.7998046875,7148.7001953125,5481.39990234375,6990.7001953125,5161.7998046875,6303.10009765625,5798.7001953125,6644.10009765625,7003.7998046875,6326.39990234375,6135.89990234375,6555.89990234375,5208.7998046875,6422.7998046875
"1877",6677.7001953125,6880.60009765625,7128.39990234375,7527.2001953125,8036.39990234375,6937.60009765625,7461.89990234375,6719.7998046875,6529.5,6945,6869.39990234375,6909.10009765625,7550.7001953125,6523.39990234375,7294.5,7344.5,5247.10009765625,6043.7001953125,6620.7998046875,5735.5,6799.7998046875,5510.2001953125,6980.5,5155.89990234375,6231,5783.2998046875,6606.10009765625,6988.7998046875,6213.2998046875,6154.7001953125,6543.39990234375,5257.89990234375,6407.7001953125
"1878",6665.7998046875,6877.60009765625,7146.60009765625,7684.10009765625,7998.7001953125,6851.2998046875,7323.7998046875,6800,6626.5,6917.2001953125,6876.7998046875,7047.7998046875,7542.5,6496.5,7224.39990234375,7304.2998046875,5454.2998046875,6159.39990234375,6609.60009765625,5499.10009765625,6929.7001953125,5467.89990234375,6890.2001953125,5197,5903.89990234375,5755.7001953125,6371.60009765625,6932.7998046875,6194.39990234375,6206.2998046875,6582.2998046875,5348.10009765625,6486.7001953125
"1879",6622.2998046875,6784,7153.10009765625,7671.60009765625,7923,6844.39990234375,7041.39990234375,6651,6436.2001953125,7040,6899,7041.39990234375,7537.60009765625,6487.60009765625,7132,7239.60009765625,5436.2001953125,6031.7998046875,6609.7998046875,5486,6538.39990234375,5561.60009765625,6961.10009765625,5188.39990234375,5965,5740.2998046875,6148.10009765625,6440.7001953125,5883,6086.89990234375,6165.2001953125,5259.10009765625,6334.2998046875
"1880",6594.89990234375,6780.60009765625,6852.60009765625,7283.2998046875,7953.10009765625,6664.5,6985.89990234375,6555.10009765625,6522.2001953125,7013,6863,7062.10009765625,7388.60009765625,6532.5,7104.2998046875,7264.5,5168.2998046875,5932.39990234375,6600.2001953125,5641.39990234375,6414.7001953125,5631.7998046875,6698.39990234375,5167.60009765625,5821.7998046875,5707,5956.7998046875,6133.7998046875,6040.2998046875,6092.2001953125,6161.2001953125,5262.89990234375,6317.10009765625
"1881",6682,6754.7998046875,6835.10009765625,7298.7001953125,7746.10009765625,6701,6883.60009765625,6547.10009765625,6167.60009765625,7070.5,6868.39990234375,6507.2998046875,7053.39990234375,6609.5,7107.89990234375,7201.2998046875,5176.89990234375,5834.60009765625,6604.2001953125,5660.5,6401.7998046875,5795.5,6442.7001953125,5115.39990234375,5774.60009765625,5696.60009765625,6031,5945,5685.7001953125,6192.2001953125,6126.60009765625,5412.2001953125,6393.7001953125
"1882",6733.2998046875,6891.10009765625,6815.2001953125,7313.39990234375,7733.10009765625,6613.7001953125,7021.2998046875,6527.10009765625,6477.7001953125,7055,6844.10009765625,6687.7001953125,7040.89990234375,6462.7998046875,7090.7001953125,7558.60009765625,5158.2001953125,5834.2998046875,6663,5639.39990234375,6620.60009765625,5621.7001953125,6621.60009765625,5095.89990234375,5953.39990234375,5668.10009765625,6138.7998046875,5923.2001953125,5667.39990234375,6189.7998046875,6275.89990234375,5319,6208.39990234375
"1883",6799.2001953125,6789.2001953125,6808.39990234375,7267.5,7634.5,6622.2998046875,6910.7001953125,6547.2001953125,6476.7998046875,6858.39990234375,6965.60009765625,6555.7001953125,7035.5,6500,7095.10009765625,7188.7001953125,5223.60009765625,6085.7998046875,6641.7001953125,5432.60009765625,6806.7998046875,5609.7998046875,6503.2998046875,5127.39990234375,6393,5591.39990234375,6034.7001953125,5883.39990234375,5663,6101.10009765625,6110.7001953125,5387.10009765625,6325
"1884",6898.5,6542.60009765625,6973.10009765625,7234.39990234375,7640.7998046875,6811.7001953125,7016.10009765625,6582.2998046875,6644.10009765625,6798.7001953125,7000.10009765625,6258.39990234375,7096.7001953125,6362.5,7098.2001953125,7215.7001953125,5342.89990234375,6180.10009765625,6637.39990234375,5582,6911.5,5714.10009765625,6538.10009765625,5123.5,6252.2998046875,5571.7001953125,5786.7998046875,5491.10009765625,5774.39990234375,6171.2001953125,6438,5346.5,6365.10009765625
