"","wheat_yield_1983","wheat_yield_1984","wheat_yield_1985","wheat_yield_1986","wheat_yield_1987","wheat_yield_1988","wheat_yield_1989","wheat_yield_1990","wheat_yield_1991","wheat_yield_1992","wheat_yield_1993","wheat_yield_1994","wheat_yield_1995","wheat_yield_1996","wheat_yield_1997","wheat_yield_1998","wheat_yield_1999","wheat_yield_2000","wheat_yield_2001","wheat_yield_2002","wheat_yield_2003","wheat_yield_2004","wheat_yield_2005","wheat_yield_2006","wheat_yield_2007","wheat_yield_2008","wheat_yield_2009","wheat_yield_2010","wheat_yield_2011","wheat_yield_2012","wheat_yield_2013","wheat_yield_2014","wheat_yield_2015"
"305",3559.19995117188,3454,3465.69995117188,3557.39990234375,2516.89990234375,3409.69995117188,3319.10009765625,3496.80004882812,2620.5,3548.19995117188,2508.5,2362.10009765625,2656.89990234375,2692,3032.19995117188,2464.30004882812,1385.80004882812,3061.80004882812,1896.30004882812,2684.5,1917.90002441406,3267.69995117188,1836.59997558594,2502.10009765625,2497.19995117188,2501.80004882812,1561,2320.10009765625,1630.59997558594,1530.09997558594,3985.10009765625,3340.5,2318.89990234375
"306",3376.39990234375,3470.39990234375,3617.30004882812,3547.60009765625,2675.39990234375,3402.19995117188,3250.39990234375,3485.80004882812,2608.69995117188,3698.30004882812,2754.10009765625,2357.69995117188,2643.89990234375,2679.69995117188,3018.89990234375,3194.19995117188,1641,3063.19995117188,1897.69995117188,2661.5,1899,3277.89990234375,1822.69995117188,2496.5,2494.19995117188,2490.80004882812,1545.19995117188,2310.19995117188,1742.80004882812,1509.19995117188,3956.89990234375,3159.5,2301.19995117188
"307",3719.19995117188,3503.39990234375,3641,3424.80004882812,2715.60009765625,3390.80004882812,3257.89990234375,3658.80004882812,2594.30004882812,3750.19995117188,2955.89990234375,2413.19995117188,2637,2663.69995117188,3112.5,3510.39990234375,2036.90002441406,3141.19995117188,1893,2633.30004882812,1885.40002441406,3285.89990234375,1797.69995117188,2483.89990234375,2482.69995117188,2474.19995117188,1479.59997558594,2300.30004882812,1648,1487.80004882812,3916.19995117188,3143.10009765625,2283.69995117188
"308",3344.80004882812,3450.60009765625,3876.80004882812,3586.39990234375,2858.5,3376.39990234375,3237.80004882812,3767.10009765625,2587.89990234375,3756.30004882812,2753.30004882812,2344.80004882812,2504.19995117188,2771.60009765625,3097.89990234375,3780.10009765625,2423.19995117188,3346,1874.80004882812,2596.69995117188,1860,3278.30004882812,1787.09997558594,2493.80004882812,2366.80004882812,2484.89990234375,1441.69995117188,2306.5,1641.90002441406,1477.30004882812,3879.39990234375,3107,2270.19995117188
"309",2676.89990234375,2996.69995117188,3789.5,4008.89990234375,3499.60009765625,3374.89990234375,2486.89990234375,3645.10009765625,2655,3526,2825.5,2707.69995117188,2387.89990234375,3455.19995117188,3663.5,3282.30004882812,1507.09997558594,2848.19995117188,1741.69995117188,2391.80004882812,1691.5,3247.69995117188,1740.30004882812,2511,2127,2515.5,1299,2420,1562.09997558594,1718.19995117188,4069.69995117188,2970.10009765625,2179.39990234375
"310",3094.10009765625,3231.60009765625,3800.89990234375,3696.69995117188,3239.5,3704.69995117188,2484.89990234375,3620.39990234375,2655.69995117188,3668.89990234375,2591.80004882812,2339.30004882812,2343.5,2919.80004882812,3412.5,3158.10009765625,1435.09997558594,2818.39990234375,1718.69995117188,2373.10009765625,1670.5,3222.80004882812,1748.90002441406,2504.89990234375,2110.39990234375,2516.89990234375,1278,2291.60009765625,1542,1540.40002441406,3878.39990234375,2941,2140.39990234375
"311",3211.80004882812,3363.80004882812,3575.69995117188,3272.30004882812,2712.19995117188,3726.69995117188,2487.5,3602.39990234375,2651.10009765625,3503.60009765625,2311.89990234375,1879.69995117188,2239.19995117188,2222.19995117188,2930.19995117188,3152,1319.19995117188,2788.5,1702,2349.5,1650.80004882812,3199.39990234375,1708.59997558594,2504.80004882812,2093.89990234375,2436.10009765625,1256,2267,1524.30004882812,1416.80004882812,3817,2920.69995117188,2100.89990234375
"312",3669.80004882812,3402.89990234375,3559.5,3247.89990234375,2553,3720.30004882812,2768.89990234375,3573.30004882812,2646.39990234375,3332.80004882812,2161.19995117188,1858.09997558594,2206.10009765625,2184.10009765625,2906.80004882812,2818.80004882812,1292.59997558594,2771.5,1677.80004882812,2330,1631.19995117188,3174.69995117188,1685.80004882812,2576.69995117188,2079.60009765625,2431.19995117188,1174,2241.10009765625,1504.19995117188,1402.5,3797.19995117188,2901.39990234375,2061.10009765625
"313",4312.89990234375,4500.39990234375,4530.2001953125,4214.39990234375,3853.30004882812,4359.60009765625,4384,4175.2001953125,4300.60009765625,4421.39990234375,4112.39990234375,2648.80004882812,3439.89990234375,3254.30004882812,3910.30004882812,2828.80004882812,2088.60009765625,3004.89990234375,2661.30004882812,3759.60009765625,3960.10009765625,3508.5,2762.80004882812,4045.39990234375,4150.2001953125,2993.5,3151,4917.5,4960.2001953125,3815.89990234375,5152.5,3966.10009765625,4256.7001953125
"314",4229.2998046875,4407.7998046875,4501.39990234375,4119.2001953125,3548.60009765625,4070.30004882812,4380.2001953125,4167.60009765625,4289,4409.39990234375,4279.60009765625,2833.60009765625,3444.89990234375,3154.5,3896.89990234375,2834.60009765625,2083.10009765625,2923.10009765625,2649.30004882812,3751.60009765625,4154.7001953125,3487.69995117188,2754.80004882812,3887.39990234375,4146.10009765625,2876.80004882812,2677.60009765625,5000.7998046875,4525.89990234375,3755.89990234375,5148.10009765625,4041.10009765625,4233.2001953125
"315",4224.89990234375,4153.7998046875,4478.60009765625,3737.89990234375,3266.69995117188,4063.5,4371.7998046875,4158.10009765625,4282.2998046875,4435.7998046875,4306.89990234375,3148.89990234375,3449.80004882812,3592,3765.30004882812,2844.60009765625,2079.5,2905.10009765625,2634.60009765625,3747.39990234375,4154.2998046875,3461,2747,3690.30004882812,3932.30004882812,2862.39990234375,2346.60009765625,4136.2001953125,3790.69995117188,3481.30004882812,5144.39990234375,3960.19995117188,4160.5
