"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"11",11,1,1,146344.019660309,7681.8357787351,0.0524916275811342,158271.214849566,128593.82493753,0,-52185.913530441,94158.1061249721,15944.3828051737,0.169336273437906,148834.368840893,66770.0334239215,0,-63394.7775126464,52185.9135353366,-8262.54702643855,-0.116844645856772,0,-0.55423707716866,-0.673280083060562,1,1
"12",12,1,1,138352.463783064,7091.47410028309,0.0512565797989872,150668.336046589,122282.063129405,0,-51488.5502488097,86863.9135280142,15789.8664508492,0.181777055736234,142589.533294817,61507.2357167505,0,-62516.5729839834,51488.5502550495,-8698.39235056613,-0.130520475937246,0,-0.592749602885487,-0.719707073338589,1,1
"13",13,1,1,140510.793866799,7472.08885309431,0.053178041682532,153463.978582064,124065.814568349,0,-53366.5894121897,87144.2044493196,15227.6357853877,0.174740659824873,144606.216423548,62458.8559656409,0,-63035.2876114516,53366.5894174796,-7755.54693229339,-0.121562618142341,0,-0.612394016899036,-0.723344575921982,1,1
"14",14,1,1,142407.60606807,7663.71289151451,0.053815334047897,153616.578535812,125552.588220387,0,-54051.3733668084,88356.2326948295,15497.9845346125,0.17540341028505,147095.412615038,64625.2918545592,0,-62814.8620053751,54051.3733732405,-7834.27164309798,-0.121588076237153,0,-0.611743752741185,-0.710927345921698,1,1
"15",15,1,1,144419.315386317,7862.48593983179,0.0544420662762449,155977.6798269,127601.487017969,0,-52761.9006352349,91657.4147486243,15500.7512484784,0.169116173426778,149117.936165863,66213.3641030096,0,-61388.1229206968,52761.9006376929,-7638.26530864664,-0.114674107150533,0,-0.575642470169352,-0.669756212184876,1,1
"16",16,1,1,144507.554687053,8243.27282889447,0.0570438884440761,158901.654281201,127582.389708049,0,-53645.0562052793,90862.4984800653,15690.5088854582,0.172684101229074,150123.917983909,65452.3951417733,0,-62129.9945680497,53645.0562069876,-7447.2360565637,-0.115640212784998,0,-0.590398207210302,-0.683780389130293,1,1
"17",17,1,1,138344.366696943,7807.85630062087,0.0564378332637478,151932.275458538,121749.542691919,0,-52722.126649693,85622.2400425745,14186.5174931644,0.165687296736343,142312.996054368,63662.9133289703,0,-58974.840901124,52722.1266543688,-6378.66119254353,-0.109249463472595,0,-0.615752713587938,-0.688779467481808,1,1
"18",18,1,1,139812.39318016,7791.15670341163,0.0557257945894113,154369.835413982,123454.289066912,0,-54491.2999511845,85321.093223156,13379.5667105365,0.156814290641382,144609.215412553,64227.3046946395,0,-59226.9843744585,54491.2999570043,-5588.41000712482,-0.101088496051971,0,-0.638661530140775,-0.694165793440448,1,1
"19",19,1,1,144095.593056018,8294.75229723014,0.0575642330297047,158559.13053382,127361.23706367,0,-53552.0241309436,90543.5689211367,14205.1523964311,0.15688748042176,149276.291245762,67735.293233443,0,-59625.9438337005,53552.0241348816,-5910.40009920093,-0.0993232473920548,0,-0.591450334563103,-0.658533174074844,1,1
"20",20,1,1,135165.158456609,7360.67651410498,0.0544569073728266,146952.746251258,120387.400522292,0,-42313.0090232308,92852.1494283138,23660.7958138883,0.254822273469883,143457.041141407,62487.8940928809,0,-57899.5064335048,42313.009028295,-16300.1192997833,-0.200365366097057,0,-0.455703064320535,-0.623566678746688,1,1
"21",21,1,1,138411.842277332,7396.60064271868,0.0534390737166718,150267.721351447,123928.146183246,0,-44943.9444426912,93467.8978333296,24183.2178954629,0.258732874666616,142937.330191373,62901.5276031321,0,-61026.6185832563,44943.9444440021,-16786.6172527442,-0.205293800949944,0,-0.480848991841396,-0.652915278912958,1,1
"22",22,1,1,133550.60455264,7253.03049113802,0.0543092299389717,146496.620324281,118438.426659358,0,-43413.6218257199,90136.9827249523,23443.787155272,0.260090658091023,139673.99702478,60023.2293315538,0,-58415.1973329533,43413.6218276878,-16190.756664134,-0.205781428152051,0,-0.48164050441087,-0.648071363906243,1,1
"23",23,1,1,137549.804184404,7571.25221820729,0.0550437149881871,151221.745446382,121426.65679097,0,-44127.2142631342,93422.5899153127,23852.7735810628,0.25532126226307,145362.74103454,61801.0443533614,0,-59625.6124412222,44127.2142690917,-16281.5213628555,-0.200277547274883,0,-0.472339873077115,-0.638235489888181,1,1
"24",24,1,1,143692.442783678,8103.14223347169,0.056392264453814,158189.685371024,124384.06277093,0,-44798.0970292339,98894.3457533401,24192.5688026915,0.244630455041708,150265.873655607,65258.4662859615,0,-59125.5964918394,44798.0970303378,-16089.4265692199,-0.188238190587894,0,-0.452989467577532,-0.597866299043113,1,1
"25",25,1,1,150037.615603184,8723.93135381032,0.0581449613067909,165293.687819089,129113.453307464,0,-45612.4295285993,104425.186074513,25173.9756521909,0.241071877374755,155964.943692981,68315.2059309855,0,-60798.2473801044,45612.4295286718,-16450.0442983806,-0.182926916067965,0,-0.436795290899004,-0.582218233604313,1,1
"26",26,1,1,139527.68755711,7670.60133697496,0.0549754781382392,153927.921283043,123188.002370304,0,-43745.2050236746,95782.4825291222,24619.7359333934,0.257037981093337,147052.5504068,62110.9486301179,0,-61077.0537422199,43745.2050279876,-16949.1345964184,-0.202062502955097,0,-0.456714044871139,-0.637664133665043,1,1
"27",27,1,1,141569.17714351,8040.46921184792,0.0567953376157381,155906.809823488,124542.709200328,0,-47270.5200966246,94298.6570405212,20622.465960477,0.218693103461859,147277.014094525,65543.3843177856,0,-58999.3248838353,47270.5201029893,-12581.9967486291,-0.161897765846121,0,-0.501285188783886,-0.625664529437388,1,1
"28",28,1,1,135661.66067093,7557.5530942526,0.0557088351777197,150879.320970881,119200.925057952,0,-47809.2422579207,87852.4184090745,17894.711048292,0.203690591247783,141359.940902305,62263.8812739502,0,-57493.1933591354,47809.242261856,-10337.1579540394,-0.147981756070063,0,-0.544199500977908,-0.654429262168118,1,1
"29",29,1,1,144487.575889795,8388.35491205316,0.0580558906909143,159661.950854047,127909.669858937,0,-51589.5558308737,92898.0200547376,17017.24617302,0.183182011446456,149889.310688479,67004.3727091258,0,-60905.2971520444,51589.5558350579,-8628.89126096686,-0.125126120755541,0,-0.555335364526348,-0.655614588084414,1,1
