"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"19",19,1,1,112748.777264709,14179.1499891938,0.125758791653273,151586.305661761,90128.6589699412,0,-20309.0341392591,90543.5689211367,14205.1523964311,0.15688748042176,149276.291245762,67735.293233443,0,-23173.8914507699,22205.2083435722,-26.0024072373053,-0.0311286887684869,0,-0.224301232889862,-0.255941882199876,1,1
"20",20,1,1,102641.540792752,12752.6546743436,0.124244575596278,139617.158026643,80096.2085973965,0,-9789.39136366519,92852.1494283138,23660.7958138883,0.254822273469883,143457.041141407,62487.8940928809,0,-19046.1264301331,9789.39136443856,-10908.1411395447,-0.130577697873606,0,-0.105429884218491,-0.205123161363514,1,1
"21",21,1,1,104258.932551288,12816.5518739107,0.122930012424651,145694.014190782,82776.1807669044,0,-10791.0347111137,93467.8978333296,24183.2178954629,0.258732874666616,142937.330191373,62901.5276031321,0,-20347.0339147877,10791.0347179579,-11366.6660215523,-0.135802862241964,0,-0.115451775007887,-0.217690077411072,1,1
"22",22,1,1,101411.913747212,11829.6088035742,0.116649103310107,140862.978293083,80627.9161690497,0,-11274.9310192225,90136.9827249523,23443.787155272,0.260090658091023,139673.99702478,60023.2293315538,0,-20735.1109203927,11274.9310222596,-11614.1783516978,-0.143441554780916,0,-0.125086625693111,-0.230039993502607,1,1
"23",23,1,1,104969.015158217,12653.7951242316,0.120547907448297,145475.17343496,83283.2845579979,0,-11546.425235248,93422.5899153127,23852.7735810628,0.25532126226307,145362.74103454,61801.0443533614,0,-21482.2402108188,11546.4252429039,-11198.9784568312,-0.134773354814773,0,-0.123593503944975,-0.229946956408427,1,1
"24",24,1,1,109155.113769398,13137.0966675061,0.120352553479625,149702.348700199,86336.8150563242,0,-10260.7680115032,98894.3457533401,24192.5688026915,0.244630455041708,150265.873655607,65258.4662859615,0,-21078.3487732136,10260.7680160582,-11055.4721351855,-0.124277901562083,0,-0.103754850020398,-0.213140080078863,1,1
"25",25,1,1,114046.092765637,14123.9304257478,0.123844053603592,160322.319267106,89228.8304492381,0,-9620.9066840447,104425.186074513,25173.9756521909,0.241071877374755,155964.943692981,68315.2059309855,0,-20913.6245265461,9620.90669112492,-11050.0452264431,-0.117227823771164,0,-0.0921320521007232,-0.200273758780982,1,1
"26",26,1,1,106110.235938625,12680.1062188346,0.119499368808951,149637.38960517,85401.8338524965,0,-10327.7534059553,95782.4825291222,24619.7359333934,0.257037981093337,147052.5504068,62110.9486301179,0,-23290.885226088,10327.7534095027,-11939.6297145588,-0.137538612284385,0,-0.107825075454848,-0.243164351258139,1,1
"27",27,1,1,107973.615100595,12675.8301451665,0.117397478387261,150463.861602045,87273.894300016,0,-13674.9580546059,94298.6570405212,20622.465960477,0.218693103461859,147277.014094525,65543.3843177856,0,-21730.5099836231,13674.9580600733,-7946.63581531055,-0.101295625074598,0,-0.145017527118436,-0.230443472533074,1,1
"28",28,1,1,103596.47125974,12460.4638290268,0.120278844226128,144364.742142418,84290.3507025371,0,-15744.0528463643,87852.4184090745,17894.711048292,0.203690591247783,141359.940902305,62263.8812739502,0,-22026.4694328381,15744.0528506657,-5434.24721926518,-0.0834117470216551,0,-0.179210238391549,-0.250721264499224,1,1
"29",29,1,1,111081.028545251,13657.0124645514,0.122946399069288,152043.597047676,87744.2420409505,0,-17627.6316571961,92898.0200547376,17017.24617302,0.183182011446456,149889.310688479,67004.3727091258,0,-20739.8693378478,18183.0084905134,-3360.2337084686,-0.0602356123771675,0,-0.189752501149212,-0.223254158975911,1,1
