"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"11",11,1,1,103643.940936652,75757.9574236811,0.730944392301572,181358.612584993,0,0.333333333333333,79551.4125020795,94158.1061249721,15944.3828051737,0.169336273437906,148834.368840893,66770.0334239215,0,-9485.83481408243,9485.83481167993,59813.5746185075,0.561608118863666,0.333333333333333,0.844870566921708,-0.100743687447284,0,1
"12",12,1,1,102936.547254015,67922.8771532831,0.659851908435113,170363.992552504,0,0.272727272727273,71862.305113472,86863.9135280142,15789.8664508492,0.181777055736234,142589.533294817,61507.2357167505,0,-16072.6337292287,16072.6337260009,52133.0107024338,0.478074852698879,0.272727272727273,0.827297576113652,-0.185032346303913,0,1
"13",13,1,1,99780.0409644608,73765.8939958091,0.739285064255312,176036.968987252,0,0.333333333333333,74196.3947752292,87144.2044493196,15227.6357853877,0.174740659824873,144606.216423548,62458.8559656409,0,-12635.8365171064,12635.8365151412,58538.2582104214,0.56454440443044,0.333333333333333,0.85142087467652,-0.144999160838688,0,1
"14",14,1,1,107195.704431278,73613.8724214342,0.686724088544305,182417.067001176,0,0.303030303030303,74333.3644477378,88356.2326948295,15497.9845346125,0.17540341028505,147095.412615038,64625.2918545592,0,-18839.4717430108,18839.4717364486,58115.8878868217,0.511320678259256,0.303030303030303,0.841291691379319,-0.213221763404963,0,1
"15",15,1,1,101130.585981594,78239.2634299358,0.77364590218211,179954.303202841,0,0.363636363636364,78447.5643608765,91657.4147486243,15500.7512484784,0.169116173426778,149117.936165863,66213.3641030096,0,-9473.17123835431,9473.17123296969,62738.5121814573,0.604529728755333,0.363636363636364,0.85587799498844,-0.10335411776925,0,1
"16",16,1,1,97284.7789178231,80055.5164196773,0.822898682714801,180502.023614692,0,0.393939393939394,78349.29255548,90862.4984800653,15690.5088854582,0.172684101229074,150123.917983909,65452.3951417733,0,-6422.28044309986,6422.28043775781,64365.0075342191,0.650214581485727,0.393939393939394,0.862284153155544,-0.0706813102273307,0,1
"17",17,1,1,90621.3473716136,75994.104656078,0.838589436818311,171226.074090147,0,0.393939393939394,74480.2024260337,85622.2400425745,14186.5174931644,0.165687296736343,142312.996054368,63662.9133289703,0,-4999.10733084242,4999.10732903912,61807.5871629136,0.672902140081968,0.393939393939394,0.869869818741012,-0.0583856171989507,0,1
"18",18,1,1,89683.0187063971,76197.1598185163,0.849627509394721,173124.512190657,0,0.393939393939394,75525.2640571677,85321.093223156,13379.5667105365,0.156814290641382,144609.215412553,64227.3046946395,0,-4361.92548903599,4361.92548324108,62817.5931079798,0.692813218753338,0.393939393939394,0.88518865856105,-0.0511236474388278,0,1
"19",19,1,1,91132.5797441453,77900.0662084611,0.854799309173137,177762.934390038,0,0.393939393939394,79104.9537671347,90543.5689211367,14205.1523964311,0.15688748042176,149276.291245762,67735.293233443,0,-589.010823577924,589.010823008575,63694.9138120301,0.697911828751377,0.393939393939394,0.873667282057714,-0.00650527509127624,0,1
"20",20,1,1,87816.5608096678,73043.3271688762,0.831771666931812,167144.408806682,0,0.393939393939394,73777.2028389415,92852.1494283138,23660.7958138883,0.254822273469883,143457.041141407,62487.8940928809,0,5035.58861279955,-5035.58861864606,49382.531354988,0.576949393461929,0.393939393939394,0.794566450999618,0.0542323321948218,-1,1
"21",21,1,1,95091.6090424331,74202.0128873152,0.780321351531697,172284.636108955,0,0.363636363636364,73647.1610031388,93467.8978333296,24183.2178954629,0.258732874666616,142937.330191373,62901.5276031321,0,-1623.71121207759,1623.71120910352,50018.7949918523,0.521588476865081,0.363636363636364,0.787940701677759,-0.0173718597477496,0,1
