"","CellID","CompID","BaseID","Comprevenue_Mean","Comprevenue_SD","Comprevenue_CV","Comprevenue_Max","Comprevenue_Min","CompCropFailureProb","CompMinPropSOSDBase","Baserevenue_Mean","Baserevenue_SD","Baserevenue_CV","Baserevenue_Max","Baserevenue_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbaserevenue","MinProp_BaseSOSDComp_Divdbaserevenue","Riskiness_Comp","RiceArea"
"38",38,1,1,155151.976229923,13978.5092496589,0.0900955926526122,183127.521362079,116882.148815889,0,-52421.7793341283,98484.1616062894,25873.2526233104,0.26271485893076,150597.542492705,64460.3694763546,0,-65484.5535259346,56667.814623634,-11894.7433736515,-0.172619266278147,0,-0.532286394879363,-0.664924719445981,1,1
"39",39,1,1,150071.683925853,12262.3569009853,0.0817099973839424,170325.86555221,124207.897817097,0,-56076.5324378553,93995.1514869081,26215.9860405582,0.278907854563218,145684.525927934,60707.400523957,0,-67355.9752239309,56076.5324389447,-13953.629139573,-0.197197857179276,0,-0.596589627771022,-0.716589889568,1,1
"40",40,1,1,154921.349508425,11540.8331299865,0.0744947882690559,176345.679671931,139041.401598911,0,-57425.8342414446,97495.5152601279,26453.3633773524,0.271329027871406,150014.826684171,62993.7482972856,0,-76047.6533043482,57425.8342482973,-14912.5302473658,-0.196834239602351,0,-0.589010008185778,-0.780011809788844,1,1
"41",41,1,1,163371.126798451,12255.4493168933,0.0750160053190589,186346.06771401,145610.523723686,0,-58898.5647705806,104472.562020492,26847.4596467667,0.256980963494518,157525.897892455,67569.6440420395,0,-78040.8796881981,58898.5647779599,-14592.0103298734,-0.181964958175459,0,-0.563770655485869,-0.746998811734807,1,1
"42",42,1,1,156216.83920759,11327.9002623948,0.0725139512478654,176725.007209606,141152.386681415,0,-60194.964809595,96021.8743963934,25093.5137286114,0.261331221519604,149337.114529455,61932.7055573437,0,-79219.6811248691,60194.9648111965,-13765.6134662167,-0.188817270271738,0,-0.626888041792443,-0.825017024744152,1,1
"43",43,1,1,158700.578826273,11565.7042431538,0.0728775177046746,179893.713218394,142077.150752885,0,-61775.9026965104,96924.676129618,23691.6979423114,0.244434120271172,151286.808369009,63418.6292933148,0,-78658.521463689,61775.9026966554,-12125.9936991576,-0.171556602566497,0,-0.63735990836737,-0.811542783578646,1,1
"44",44,1,1,166640.188637625,12178.1701006663,0.0730806307903848,187978.596044334,150292.010886387,0,-67345.4217246851,99294.7669061178,21861.9462586098,0.220172189731611,158299.097974634,69387.1031287488,0,-80904.907761575,67345.4217315072,-9683.77615794346,-0.147091558941226,0,-0.678237371646781,-0.814795283603111,1,1
"45",45,1,1,152250.938352523,10435.6303338233,0.0685423055302328,170220.640808248,136451.296964847,0,-68436.7284967709,83814.2098527747,18459.3493407691,0.220241285734175,138614.103907338,60243.1009466789,0,-76208.1960223883,68436.7284997487,-8023.71900694577,-0.151698980203942,0,-0.816528946785809,-0.909251499909778,1,1
"46",46,1,1,158695.735361827,11909.1808326278,0.075044113853941,178005.724003721,140728.202369211,0,-73302.9088944909,85392.8264668172,18164.2560389884,0.21271407436135,143145.430661194,62290.3129551049,0,-78437.8894143674,73302.9088950099,-6255.0752063606,-0.137669960507409,0,-0.85841998593378,-0.918553614627659,1,1
"47",47,1,1,157916.984433222,12053.8343147681,0.0763301956279774,180620.98729548,139620.750628448,0,-74059.7143401516,83857.2700908236,17398.0698260549,0.207472408858665,142039.636506125,62046.0776821966,0,-77574.67295214,74059.7143423988,-5344.23551128672,-0.131142213230688,0,-0.8831639076724,-0.925079875222755,1,1
