"","x","y","variable_z.1","variable_z.2","variable_z.3","variable_z.4","variable_z.5","variable_z.6","variable_z.7","variable_z.8","variable_z.9","variable_z.10","variable_z.11","variable_z.12","variable_z.13","variable_z.14","variable_z.15","variable_z.16","variable_z.17","variable_z.18","variable_z.19","variable_z.20","variable_z.21","variable_z.22","variable_z.23","variable_z.24","variable_z.25","variable_z.26","variable_z.27","variable_z.28","variable_z.29","variable_z.30","variable_z.31","variable_z.32","variable_z.33"
"1843",85.475,25.625,44960.1611328125,38167.2802734375,39570.0805664062,31978.681640625,35162.6806640625,32203.0004882812,39504.560546875,36066.9189453125,41231.318359375,39922.1997070312,47410.400390625,36781.318359375,42802.119140625,39750.7592773438,38828.8403320312,37843.9990234375,32501.8017578125,38091.0791015625,40504.638671875,31741.6796875,42496.5625,36136.5185546875,32339.8388671875,36680.6396484375,40083.759765625,30595.400390625,31633.1591796875,38475.5615234375,39329.638671875,39431.5185546875,36989.7607421875,35252.55859375,34364.521484375
"1844",85.525,25.625,46795.80078125,44308.359375,41590.078125,33558.8403320312,37357.3583984375,33822.44140625,41443.759765625,37207.3583984375,42691.357421875,42260.556640625,44944.7607421875,38872.3193359375,45002.2412109375,36714.0405273438,40500.7202148438,39371.8798828125,33760.76171875,39974.599609375,42667.958984375,33174.560546875,38713.798828125,38397.958984375,34690.400390625,38393.1201171875,35712.55859375,32343.720703125,33849.7607421875,39889.638671875,40986.8017578125,41018.5986328125,33816.240234375,37406.71875,30935.2392578125
"1845",85.575,25.625,40289.7607421875,33685,36825.6396484375,24642.3193359375,32447.158203125,29391.7602539062,36895.1196289062,32944.7216796875,32882.158203125,37305.9204101562,38972.041015625,34033.8403320312,39456.7211914062,32083.2397460938,35931.5600585938,30843.1982421875,29361.0400390625,34874.8803710938,37834.8803710938,28997.55859375,33069.599609375,28078.1982421875,25491.9604492188,33084.3994140625,30432.7587890625,23167.1997070312,29988.798828125,30469.16015625,31613.5205078125,35446.240234375,29711.0009765625,31775.9204101562,26760.87890625
"1846",85.625,25.625,40747.48046875,33763.720703125,35909.9194335938,24378.9208984375,31886.9189453125,28431.1206054688,36008.9208984375,28198.1591796875,32297.55859375,36753.6401367188,38911.6796875,33550.5200195312,34427.48046875,31502.080078125,35944.7607421875,30325.76171875,28359.4384765625,33918.3984375,37645.5615234375,28917.3193359375,32662.919921875,28109.3212890625,25020.76171875,32695,30076.4404296875,23498.6401367188,29156.318359375,29775.1196289062,31341.640625,35191.318359375,29674.3212890625,31011.8017578125,26218.720703125
"1847",85.675,25.625,40523.2397460938,34592.919921875,35903.359375,24425.6005859375,31604.8388671875,28238.0004882812,36378.9208984375,27978.8403320312,32389.9609375,36777.48046875,43140.439453125,33708.5986328125,34500.0805664062,30758.1982421875,35943.5595703125,30338.681640625,24965.400390625,29969.4384765625,37684.19921875,28528.5595703125,32839.8803710938,28450.87890625,25403.9990234375,32542.6416015625,30405.478515625,23498.1201171875,29240.1611328125,29961.4013671875,31103.1591796875,35113.1201171875,30237.3583984375,30818.720703125,30327.3193359375
"1848",85.725,25.625,45552.3193359375,38630.9594726562,40445.1196289062,28178.4008789062,36283.6401367188,33058.681640625,34956.9995117188,37671.0400390625,37225.87890625,41106.357421875,49455.1171875,38104.8388671875,38716.8017578125,39809.4409179688,40447.841796875,38685.3198242188,33481.4404296875,39273.5986328125,41395.1611328125,32334.9609375,37993.1591796875,36802.3999023438,33351.318359375,37768.9208984375,35516.9189453125,26446.4013671875,32861.0791015625,34455.439453125,40225.5615234375,40450.439453125,38423.720703125,36539.560546875,35051.1596679688
"1849",85.775,25.625,45628.720703125,39053.5205078125,41061.5625,28219.7192382812,36429.3994140625,33053.6401367188,35450.2001953125,37296.71875,36786.8798828125,41188.0810546875,44379.08203125,38597.6000976562,38486.71875,40307.3999023438,40528.1201171875,38513.1201171875,33519.638671875,34013.5986328125,41820.87890625,32381.640625,37773.9599609375,36343.1201171875,33758.5595703125,37491.6796875,35048.1982421875,26435.3198242188,32506.1596679688,34221.640625,40110.76171875,40073.759765625,38314.7998046875,36780.76171875,35100.80078125
"1850",85.825,25.625,41681.796875,40211.9604492188,37148.3203125,29960,32658.2397460938,29998.798828125,36678.5595703125,34093.0810546875,38039.6411132812,37544.2797851562,45730,34079.23828125,40619.9194335938,37870.1611328125,40528.9208984375,36316.640625,30273.2397460938,36063.1201171875,37771.6796875,29666.1206054688,38999.4799804688,33439.7216796875,29934.599609375,34306.9995117188,37539.3994140625,23682.6000976562,29288.5595703125,35754.0405273438,36269.0795898438,37246.71875,35196.0791015625,33626.240234375,32421.1206054688
"1851",85.875,25.625,50548.9599609375,43413.28125,40282.880859375,32919.19921875,39975.83984375,32633.5986328125,39043.359375,41677.197265625,42125.517578125,40679.9609375,49240.76171875,42292.6806640625,44334.3603515625,45886.0009765625,44367.2802734375,38462.080078125,33695.1196289062,37688.0004882812,46394.08203125,32184.16015625,41735.95703125,37791.6015625,39060.9204101562,36931.240234375,40401.640625,31367.3999023438,36729.9194335938,38870.87890625,39839.12109375,44616.71875,37763.2397460938,41818.3984375,35873.9990234375
"1852",85.925,25.625,41921.7578125,40527.1997070312,37040.5200195312,24963.6401367188,32948.5595703125,29487.6000976562,36697.119140625,33768.3984375,33633.681640625,37865.80078125,45379.7607421875,33864.9194335938,41069.716796875,37076.6796875,41197.919921875,35300.6396484375,30360.0390625,36066.279296875,37258.0810546875,29230.1611328125,39459.8388671875,33830.0805664062,29809.9194335938,33815.5200195312,37070.9594726562,23561.640625,29440.478515625,35841.7602539062,36417.2802734375,36706.201171875,35810.439453125,33068.759765625,32350
