"","x","y","variable_z.1","variable_z.2","variable_z.3","variable_z.4","variable_z.5","variable_z.6","variable_z.7","variable_z.8","variable_z.9","variable_z.10","variable_z.11","variable_z.12","variable_z.13","variable_z.14","variable_z.15","variable_z.16","variable_z.17","variable_z.18","variable_z.19","variable_z.20","variable_z.21","variable_z.22","variable_z.23","variable_z.24","variable_z.25","variable_z.26","variable_z.27","variable_z.28","variable_z.29","variable_z.30","variable_z.31","variable_z.32","variable_z.33"
"1753",85.125,25.675,45662.2412109375,36108.1982421875,33716.1596679688,23527.119140625,32337.51953125,27713.2397460938,28959.2407226562,32322.3193359375,33760.439453125,38622.48046875,46683.4765625,30844.8388671875,38224.8388671875,33575.3198242188,35615.478515625,28883.3203125,23625.1611328125,27592.919921875,28064.638671875,24686.4404296875,30249.7216796875,27175.5200195312,25901.6796875,33435.5615234375,30200.9204101562,21624.3994140625,29557.3193359375,33308.681640625,34081.9604492188,31941.9604492188,28304.2797851562,28012.7587890625,29214.23828125
"1754",85.175,25.675,41586.6015625,36494.2797851562,36696.201171875,21961.3598632812,36212.1997070312,27161.1596679688,33293.4814453125,31312.3999023438,33163.1982421875,37315.0390625,47161.357421875,35153.9990234375,38112.6000976562,38820.83984375,35504.16015625,32087.041015625,21621.0400390625,25977.119140625,26360.0390625,23367.080078125,29300.3198242188,26190.87890625,29399.3212890625,32819.599609375,28307.7197265625,23654.2407226562,27863.798828125,32045.478515625,38121.8798828125,36176.7602539062,27021.4013671875,26959.16015625,28406.5185546875
"1755",85.225,25.675,45626.8798828125,36086.240234375,31294.4799804688,22010.9204101562,30499.560546875,27053.9990234375,33111.201171875,30994.6801757812,33131.4404296875,36852.51953125,42393.4375,35096.6015625,37633.4814453125,33474.638671875,34923.9990234375,31841.9604492188,26448.2006835938,25526.3208007812,31744.19921875,23305.2807617188,29006.0009765625,25747.8002929688,24246.8798828125,32360.2001953125,28620.2783203125,23922.919921875,27423.0004882812,37062.7197265625,38025.7202148438,36173.359375,26671.3208007812,26777.3193359375,28603.3984375
"1756",85.275,25.675,41115.2392578125,31112.48046875,34369.16015625,24183.8793945312,32272.119140625,28823.3203125,29145.87890625,26968.359375,33034.9194335938,37146.640625,44222.958984375,35221.201171875,38778.759765625,32096.9189453125,29751.0791015625,29547.041015625,27253.8403320312,28148.1591796875,29094.2407226562,25796.7602539062,32027.1997070312,26507.7197265625,25973.1591796875,29438.28125,29439.9194335938,26713.28125,30310.5200195312,33467.6000976562,34870.0805664062,32396.5600585938,28294.521484375,27919.9609375,29388.5986328125
"1757",85.325,25.675,42086.6015625,31296.9995117188,33084.9194335938,23642.4389648438,31311.4794921875,28260.2001953125,28779.16015625,31887.119140625,27578.28125,31195.3198242188,44229.677734375,35071.8408203125,38198.359375,33198.798828125,29077.1606445312,28340.6005859375,31491.318359375,27530.5615234375,27654.12109375,25018.4399414062,31583.9208984375,26833.9599609375,25544.3994140625,29251.0400390625,28483.1591796875,24851.3208007812,23305.80078125,33793.9599609375,34375.87890625,31003.5986328125,27971.0791015625,27825.6787109375,23431.5600585938
"1758",85.375,25.675,41678.9990234375,30463.6401367188,32201.1206054688,22067.7197265625,29591.3598632812,27823.2006835938,32035.6787109375,30615.9204101562,26704.0795898438,30581.0009765625,43985.76171875,34427.158203125,37186.318359375,38207.2412109375,28947.55859375,26502.44140625,29394.599609375,26840.1196289062,26444.4799804688,29143.3984375,30312.2802734375,30134.599609375,24869.23828125,28517.44140625,27375.1196289062,23033.4008789062,21672.041015625,37939.2797851562,33673.5205078125,29935.76171875,26059.3212890625,26496.5600585938,27018.5986328125
"1759",85.425,25.675,43809.677734375,32102.6416015625,33587.2412109375,23516.9189453125,31464.3994140625,29034.0405273438,33949.9194335938,26898.1201171875,27772.919921875,32054.2797851562,45026.318359375,35500.2392578125,38410.1196289062,34805.3198242188,30037.6806640625,27751.279296875,31126.5185546875,28128.0810546875,28296.7993164062,30679.6801757812,31259.3603515625,31689.0405273438,26309.0795898438,29874.0405273438,29921.9995117188,24900.6396484375,23519.7998046875,39129.0795898438,34934.4799804688,31486.279296875,27636.9995117188,28183.681640625,23256.0009765625
"1760",85.475,25.675,45007.841796875,33920.439453125,35323.9599609375,24395.83984375,33278.359375,30104.0405273438,29115.400390625,28157.958984375,28499.521484375,33730.6005859375,46433.2421875,37839.3212890625,40051.640625,36971.4794921875,31063.0810546875,28993.681640625,27666.9189453125,29430.3198242188,28912.3999023438,32473.8403320312,32268.8403320312,33767.3583984375,28189.3994140625,30813.5205078125,31454.9609375,25722.119140625,25020.361328125,41152.2412109375,36321.240234375,33312.1997070312,34855.6396484375,29415.439453125,24528.720703125
"1761",85.525,25.675,44956.4794921875,33941.9189453125,29708.4008789062,24271.1596679688,33316.8408203125,29699.8388671875,30004.3994140625,28009.0405273438,28445.87890625,39560.1196289062,46021.4794921875,38173.6401367188,39539.8803710938,36428.0004882812,31062.6000976562,29601.0009765625,28264.7192382812,23541.279296875,29252.8002929688,32604.9194335938,33149.3994140625,27941.8798828125,28215.87890625,30593.3984375,31020.0390625,25139.6801757812,25536.7993164062,41163.2421875,36368.3984375,33210.5615234375,35269.521484375,25398.2006835938,24414.8388671875
"1762",85.575,25.675,34387.119140625,29986.4013671875,26173.9990234375,22204.0795898438,24624.19921875,26884.7607421875,26881.8798828125,24795.5200195312,25244.4799804688,29831.8798828125,41085.439453125,32367.919921875,36850.3198242188,31310.478515625,29073.3203125,26152.48046875,25468.3203125,20884.8388671875,25761.5600585938,22854.3212890625,29431.279296875,25412.919921875,19289.599609375,26902.080078125,25502.1997070312,21452.2412109375,21216.8408203125,31600.5615234375,32482.8002929688,29075.5200195312,25369.4384765625,21050.400390625,17111.3195800781
"1763",85.625,25.675,34283.5986328125,29877.119140625,26150.6396484375,21843.0395507812,25175.439453125,25786.279296875,27295.0805664062,24775.439453125,25165.400390625,29879.8803710938,36811.0400390625,32245.76171875,36026.9995117188,31818.359375,33984.19921875,26934.599609375,26233.2397460938,20669.9194335938,25906.3208007812,22295.0390625,29824.2797851562,25228.5205078125,19623.8403320312,26160.478515625,21255.7202148438,21517.041015625,20772.3608398438,30214.4384765625,32523.8403320312,29179.4384765625,24276.9995117188,21606.9995117188,16753.720703125
"1764",85.675,25.675,39212.080078125,33810.5200195312,29273.9599609375,24747.6806640625,32816.279296875,28236.0791015625,29753.5205078125,28347.7197265625,34645.76171875,33865.478515625,47042.880859375,39117.8002929688,32499.12109375,36844.8388671875,38265.0805664062,29801.5185546875,29079.638671875,28959.12109375,28739.0795898438,26578.4399414062,32399.4384765625,27820.80078125,23353.1201171875,34135.2783203125,30417.8002929688,24905.6396484375,25512.2412109375,40561.5209960938,35813.28125,33252.158203125,27657.1606445312,30227.3999023438,24302.8393554688
"1765",85.725,25.675,39763.8793945312,33884.7607421875,29537.1606445312,24312.080078125,27597.3193359375,27776.9995117188,34853.0395507812,28066.71875,34385.76171875,33616.1596679688,45004.443359375,38823.5595703125,32293.720703125,30695.2783203125,37891.4013671875,29327.880859375,29162.1606445312,22575.2807617188,28733.8793945312,26439.3603515625,32478.2397460938,27027.1606445312,23196.201171875,36152.7197265625,30073.798828125,24957.041015625,25115.0805664062,34301.9604492188,36212.2802734375,33071.0009765625,27170.80078125,30356.8798828125,23896.1206054688
"1766",85.775,25.675,43388.5205078125,32208.9599609375,28148.9599609375,23610.439453125,25848.9599609375,27133.5986328125,33733.8403320312,26977.1606445312,32661.71875,32050.2783203125,43297.2412109375,37173.798828125,31498.9208984375,35420.2392578125,36035.6787109375,28260.83984375,27731.7993164062,26793.9990234375,27128.6791992188,25237.958984375,31072.158203125,25952.2802734375,21446.9189453125,34323.720703125,24253.759765625,23582.3193359375,16936.7602539062,32863.28125,28952.041015625,32258.759765625,26372.880859375,29592.158203125,22954.4384765625
"1767",85.825,25.675,35516.1596679688,30253.0004882812,27983.2397460938,21981.4404296875,23614.2407226562,24950.6787109375,31899.9609375,25306.9604492188,31220.6396484375,29807.158203125,41749.12109375,35179.521484375,29998.2397460938,33788.9990234375,33549.16015625,31743.3984375,25783.359375,25271.71875,25038.720703125,23751.6796875,28971.7602539062,29562.6000976562,19133.8000488281,33086.240234375,21691.5185546875,21449.3603515625,14986.7602539062,30763.6401367188,26827.1606445312,29123.4814453125,30267.7197265625,26773.5986328125,21215.9204101562
"1768",85.875,25.675,34909.4799804688,30162.51953125,26500.2392578125,21233.1591796875,22952.51953125,24875.9204101562,31583.1591796875,24068.798828125,25549.12109375,29843.6401367188,40728.6791992188,34481.640625,30168.759765625,33953.5205078125,34399.7607421875,26013.6791992188,25393.6401367188,24887.880859375,24936.5185546875,23568.759765625,29048.5595703125,29750.478515625,24728.681640625,32023.759765625,21488.5595703125,20892.880859375,15331.4404296875,30934.6801757812,26246.7602539062,29038.798828125,30421.4404296875,27207.958984375,21070.0805664062
"1769",85.925,25.675,34812.2412109375,30445.0805664062,25917.2412109375,25808.9990234375,22865.2001953125,25346.9189453125,25738.8403320312,29999.9194335938,25838.9990234375,30052.041015625,40893.5595703125,33746.6015625,29522.44140625,33954.0405273438,38853.1982421875,30860.9594726562,26339.0795898438,19420.9997558594,24866.5185546875,23554.4384765625,29160,29982.2802734375,24754.3603515625,31446.640625,22236.7602539062,21111.279296875,15645.6799316406,31088.4814453125,32005.1196289062,28525.3198242188,30155.6787109375,26781.0009765625,21396.4013671875
"1770",85.975,25.675,32981.8798828125,29177.7197265625,25226.6796875,25272.2802734375,21105.87890625,24319.560546875,23930.478515625,28273.6401367188,24732.51953125,28685.2001953125,39819.4799804688,32695,28957.080078125,32651.3598632812,33449.16015625,29382.919921875,25491.640625,19220.3601074219,23150.5615234375,21341.7602539062,27112.7587890625,23679.3994140625,24020.1196289062,32289.521484375,21385.3198242188,20479.7192382812,15352.7600097656,29738.28125,25856.279296875,25667.119140625,29367.2412109375,25052.7197265625,23984.16015625
"1771",86.025,25.675,32105,28767.958984375,25257.880859375,20690.1196289062,20930.0805664062,24624.7607421875,23671.0400390625,27150.2783203125,24391.8798828125,27838.4814453125,38654.6411132812,33894.23828125,33859.0795898438,31702.2412109375,32285.1196289062,28973.720703125,24304.638671875,18416.4001464844,22303.4814453125,20953.1591796875,24542.51953125,24269.638671875,17829.8803710938,31119.2797851562,20323.1591796875,19553.8793945312,20028.759765625,29521.9604492188,25448.4008789062,25202.44140625,23962.2412109375,23927.2412109375,23724.7998046875
