"","x","y","variable_z.1","variable_z.2","variable_z.3","variable_z.4","variable_z.5","variable_z.6","variable_z.7","variable_z.8","variable_z.9","variable_z.10","variable_z.11","variable_z.12","variable_z.13","variable_z.14","variable_z.15","variable_z.16","variable_z.17","variable_z.18","variable_z.19","variable_z.20","variable_z.21","variable_z.22","variable_z.23","variable_z.24","variable_z.25","variable_z.26","variable_z.27","variable_z.28","variable_z.29","variable_z.30","variable_z.31","variable_z.32","variable_z.33"
"3219",85.325,24.775,44587.841796875,38404.7607421875,44952.919921875,31830.5615234375,43442.080078125,36692.6806640625,35092.8002929688,34297.119140625,41631.71875,39792.841796875,50970.400390625,44397.51953125,44470.0390625,42496.162109375,45019.921875,44434.23828125,43566.962890625,45265.83984375,48931.123046875,37594.7192382812,43552.7587890625,39795.2807617188,40240.400390625,43017.40234375,36700.7202148438,35702.3193359375,43518.3203125,-7920,-7920,-7920,34587.919921875,30032.55859375,32139.16015625
"3220",85.375,24.775,46149.23828125,33301.9604492188,44625.283203125,31613.0004882812,43787.55859375,36670.2783203125,45566.5234375,37398.759765625,41863.28125,40351.1206054688,52643.1591796875,37286.1206054688,46174.16015625,42703.2421875,44481.5234375,44469.716796875,43413.28125,44450.322265625,48255.91796875,31833.0395507812,36615.5200195312,33286.71875,38780.3588867188,41314.9609375,37020.5590820312,36566.201171875,42976.0009765625,-7920,-7920,-7920,35294.4384765625,34560.9204101562,32163.0004882812
"3221",85.425,24.775,46771.9189453125,33148.720703125,45273.28125,32129.3212890625,43922.880859375,36808.5595703125,45801.9189453125,37881.318359375,42396.396484375,40928.1201171875,53186.0791015625,38300.6005859375,52087.841796875,42761.0791015625,44945.6005859375,44389.9609375,43952.55859375,45040.556640625,48025.6005859375,30361.4794921875,43924.16015625,33769.4384765625,38516.6796875,42215.2001953125,35681.240234375,35731.240234375,43196.6796875,-7920,-7920,-7920,39238.9599609375,29203.3984375,42012.958984375
"3222",85.475,24.775,40894.2407226562,35476.71875,40905.5200195312,35388.3203125,38549.19921875,32785.80078125,36656.8017578125,38807.841796875,37690.5200195312,42091.7578125,43110.6005859375,34647.919921875,44437.7587890625,37436.0009765625,40864.638671875,40739.8803710938,34555.0805664062,40280.6396484375,43371.5185546875,38831.1206054688,38817.119140625,35921.6796875,34003.9599609375,36707.6416015625,38118.4399414062,32571.318359375,44547.119140625,-7920,-7920,-7920,36717.158203125,-7920,38998.759765625
"3223",85.525,24.775,46942.36328125,33547.041015625,44907.2412109375,33281.1596679688,45077.880859375,36096.4794921875,37703.1591796875,38390.76171875,40269.4799804688,41072.958984375,54031.162109375,43233.4765625,50844.521484375,42393.2421875,45469.9609375,41862.119140625,40433.4399414062,38647.041015625,49027.958984375,34716.0400390625,41189.7216796875,36700.76171875,44036.640625,41206.4404296875,34674.3603515625,30884.7607421875,41862.48046875,-7920,-7920,-7920,38313.3203125,-7920,41300.478515625
"3224",85.575,24.775,46883.2421875,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,32607.880859375,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920,-7920
"3225",85.625,24.775,48719.599609375,44519.677734375,42412.59765625,-7920,40463.681640625,39780.2392578125,39127.55859375,45030.87890625,44908.037109375,48192.3193359375,-7920,41502.63671875,48056.8408203125,45219.521484375,33660.0805664062,30444.16015625,-7920,31224.599609375,37499.8388671875,34245.400390625,34473.2397460938,30923.3203125,31555.2001953125,32078.2397460938,27306.5991210938,29690.0805664062,35567.6806640625,36730.0805664062,39381.9604492188,33842.6000976562,37054.23828125,37793.9990234375,33891.9995117188
"3226",85.675,24.775,44078.28125,34349.3212890625,39332.880859375,-7920,37676.3598632812,32287.119140625,30811.279296875,36427.3583984375,37015.2001953125,44230.517578125,-7920,37896.0400390625,39293.9990234375,41614.3994140625,30817.8002929688,35145.1611328125,-7920,25663.1201171875,30492.958984375,27276.5991210938,27313.6791992188,29766.4404296875,25021.8408203125,31278.759765625,26178.4008789062,28669.3212890625,27721.640625,29936.240234375,36557.8002929688,31450.3198242188,28794.0795898438,25641.5600585938,31103.3203125
"3227",85.925,24.775,38011.201171875,27338.6401367188,32676.5185546875,-7920,32035.6005859375,27049.6801757812,34841.4404296875,35389.0795898438,39105.5200195312,-7920,38396.5600585938,30405.5200195312,31347.6806640625,35352.7197265625,28763.5205078125,28182.3999023438,22323.3203125,23370.2807617188,29825.80078125,26107.2802734375,21719.8803710938,27704.4384765625,23009.7998046875,29211.5600585938,19892.9602050781,27108.9990234375,26199.0405273438,28088.0004882812,30489.16015625,29154.23828125,28420.2807617188,24911.0791015625,24746.640625
"3228",85.975,24.775,40336.71875,27098.5595703125,-7920,-7920,34111.201171875,30473.4399414062,36042.1997070312,35783.6401367188,40823.2788085938,-7920,39616.4013671875,32334.23828125,-7920,36887.2802734375,30876.0791015625,29537.44140625,25367.080078125,24248.798828125,31520.9204101562,27518.9208984375,27975,28676.7993164062,24926.1206054688,30255.3198242188,26144.8803710938,27991.5600585938,27818.798828125,29354.9609375,31719.8803710938,30735.5615234375,30185.439453125,26386.279296875,25953.8793945312
"3229",86.025,24.775,42886.201171875,36041.240234375,33180.6787109375,-7920,36022.51953125,30901.279296875,38070,39702.841796875,40248.5205078125,-7920,50807.7587890625,38788.1591796875,35142.158203125,40248.0395507812,34010.439453125,30881.3208007812,27478.1591796875,26083.2397460938,33150.5615234375,29607.8393554688,25187.48046875,30562.919921875,26700.1611328125,32170,22968.359375,30437.3999023438,29347.080078125,31823.6401367188,34838.2397460938,27892.55859375,31856.8408203125,27793.0004882812,27646.3598632812
