"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1780",260,1,1,99320.3105008865,16227.7011313293,0.163387539260507,130229.775278884,54945.0844771833,0,-21170.6290787948,78149.6814218529,32015.4440921022,0.409668261080712,125051.865916654,26791.2943804721,0,-39951.7820604154,21170.6290790335,-15787.7429607728,-0.246280721820206,0,-0.270898469368231,-0.511221304214348,1,1
"1781",2600,1,1,118215.521815435,10598.611335518,0.0896549892328452,138528.739625147,90582.9573831341,0,-55775.1526985981,62440.3691167418,25869.0900785276,0.414300723145332,122995.977499265,18102.457745996,0,-72480.4996445384,55775.1526986935,-15270.4787430095,-0.324645733912486,0,-0.893254692237933,-1.16079550249014,1,1
"1782",2601,1,1,123769.830165769,9177.76634860285,0.0741518860962383,142009.82074478,109384.792809253,0,-53145.528878088,70624.3012874464,30163.2506995137,0.427094500754732,124190.638804218,21291.3395315561,0,-88093.4532834186,53145.5288783225,-20985.4843509108,-0.352942614658493,0,-0.752510508554011,-1.24735327185569,1,1
"1783",2602,1,1,112133.070096502,8555.75310895647,0.0762999987567753,129825.962606708,97439.890042614,0,-51455.9972987889,60677.0727962139,27512.0335376746,0.453417283824398,110907.001287327,19615.0313898498,0,-78013.8571026456,51455.9973002878,-18956.2804287181,-0.377117285067622,0,-0.848030317342527,-1.28572216007614,1,1
"1784",2603,1,1,105802.294239814,9585.41667645489,0.0905974369017777,121316.879535479,81803.2603412687,0,-49095.3435726843,56706.9506663407,27216.8593345794,0.479956319547515,105681.866089046,16559.0750510938,0,-67645.092507455,49095.3435734737,-17631.4426581245,-0.389358882645738,0,-0.865772943101058,-1.19288890890067,1,1
"1785",2604,1,1,112012.028037021,11964.0679488667,0.106810564530735,130218.227388793,81077.1711061829,0,-49526.8581898444,62485.1698470462,28541.6628220755,0.456774989840644,112925.993104558,17615.0136047864,0,-67035.5051597068,49526.858189975,-16577.5948732087,-0.34996442530991,0,-0.792617805330102,-1.07282264453788,1,1
"1786",2605,1,1,113601.124293217,12527.2649808515,0.11027412852462,132802.910769361,83336.9630892766,0,-50241.6782021782,63359.4460876897,28820.6840445657,0.454875883931778,114932.481648119,18506.2725855576,0,-67014.4552519802,50241.6782055271,-16293.4190637142,-0.344601755407158,0,-0.792962712026294,-1.05768688632839,1,1
"1787",2606,1,1,114443.840450097,11213.7408857896,0.0979846607880948,131398.408972327,85438.6267988066,0,-47223.7355903063,67220.1048518454,29288.5967385987,0.435711857384802,121815.269530928,26075.9892570987,0,-63274.7578430398,47223.735598252,-18074.8558528091,-0.337727196596707,0,-0.702523979907328,-0.941307038757211,1,1
"1788",2607,1,1,113628.314560417,10874.5968535302,0.0957032311497337,128286.941662225,86077.710388453,0,-48711.5156678442,64916.7988912289,30706.6167319555,0.473014955395535,120560.144175,22464.1891644654,0,-68256.6811756406,48711.5156691876,-19832.0198784253,-0.377311724245801,0,-0.750368417725936,-1.05144865953738,1,1
"1789",2608,1,1,120742.201179067,11986.0461184668,0.0992697333775695,136897.746209498,91051.4048609043,0,-50148.8079648706,70593.3932061475,30934.1005285081,0.438201071284024,127297.344476528,26859.9425024438,0,-68065.1779580091,50148.8079729192,-18948.0544100413,-0.338931337906454,0,-0.710389537706816,-0.96418623424496,1,1
